suburb,oldhouse,newhouse,oldunit,newunit
Ainslie,4700,4917,3363,3477
Amaroo,2294,2448,1868,1920
Aranda,4000,4114,2493,2585
Banks,2040,2096,1995,2028
Barton,7901,8170,2137,2211
Belconnen,2449,2532,1377,1420
Bonner,1999,2117,1624,1711
Bonython,2299,2363,1886,1950
Braddon,5544,5643,1694,1746
Bruce,3313,3335,1787,1854
Calwell,2284,2292,1807,1887
Campbell,5542,5670,1922,1969
Casey,2145,2269,1495,1565
Chapman,3497,3653,2147,2247
Charnwood,1957,2043,1677,1720
Chifley,3368,3552,2302,2404
Chisholm,2212,2238,2199,2240
Conder,2142,2197,1826,1898
Cook,3322,3431,2369,2490
Coombs,2775,2800,1607,1638
Crace,2326,2459,1303,1377
Curtin,3916,4090,2154,2248
Deakin,6265,6466,2534,2708
Denman Prospect,3136,3190,1415,1447
Dickson,4199,4374,1677,1750
Downer,3700,3883,2009,2098
Duffy,2770,2981,1983,2038
Dunlop,2021,2083,1745,1788
Evatt,2341,2483,1787,1825
Fadden,2756,2848,2422,2469
Farrer,3686,3850,2269,2341
Fisher,2724,2932,1795,1846
Florey,2477,2595,2064,2123
Flynn,2317,2425,2014,2061
Forde,2488,2616,1787,1938
Forrest,11587,12054,3067,3209
Franklin,2413,2528,1208,1275
Fraser,2349,2450,1983,2045
Garran,4320,4422,2094,2278
Gilmore,2232,2272,1932,1963
Giralang,2603,2723,2103,2157
Gordon,2204,2265,1682,1757
Gowrie,2245,2287,2176,2241
Greenway,2472,2512,1435,1472
Griffith,6831,7314,1974,2071
Gungahlin,2278,2375,1262,1285
Hackett,4058,4169,2060,2130
Hall,4249,4281,1635,1714
Harrison,2322,2452,1344,1407
Hawker,3395,3491,2158,2250
Higgins,2392,2495,1992,2078
Holder,2654,2789,2058,2135
Holt,2107,2189,1682,1759
Hughes,4133,4342,2390,2541
Isaacs,3345,3534,2935,3245
Isabella Plains,2157,2202,1894,2016
Jacka,2014,2040,1473,1551
Kaleen,2881,3020,2012,2116
Kambah,2421,2468,1999,2058
Kingston,4858,5107,1942,2018
Latham,2230,2252,1851,1892
Lawson,3073,3167,1598,1645
Lyneham,3763,3906,1632,1680
Lyons,3576,3802,1892,1969
Macarthur,2509,2542,2090,2233
Macgregor,1984,2040,1801,1874
Macquarie,3133,3284,1793,1836
Mawson,3523,3743,2511,2636
McKellar,2564,2685,2083,2127
Melba,2484,2527,1946,1984
Monash,2416,2437,1874,1936
Moncrieff,2082,2200,1625,1627
Narrabundah,4165,4406,2165,2317
Ngunnawal,1993,2071,1722,1796
Nicholls,2829,2955,2183,2221
O`Connor,4741,4958,2314,2416
O`Malley,5732,5993,4273,4521
Oaks Estate,2228,2368,1127,1157
Oxley,2468,2534,2123,2217
Page,2642,2738,1841,1851
Palmerston,2358,2446,2183,2215
Pearce,3801,3993,2248,2377
Phillip,2553,2719,1525,1568
Red Hill,6953,7164,3796,4018
Reid,6420,6466,2008,2058
Richardson,2164,2200,1730,1787
Rivett,2539,2682,2069,2124
Scullin,2335,2402,1885,1921
Spence,2247,2368,1969,2021
Stirling,2710,2898,2102,2184
Strathnairn,2065,2109,Taylor,2547
-,1,Tharwa,22,1
Theodore,2142,2196,1885,1935
Throsby,2588,2598,2098,2122
Torrens,3373,3597,2341,2449
Turner,7517,7729,1833,1897
Uriarra Village,2060,2093,Wanniassa,2320
Waramanga,2728,2896,2024,2074
Watson,3222,3348,1668,1729
Weetangera,3720,3694,-,1
Weston,2744,2903,2005,2059
Whitlam,2620,2572,-,2
Wright,2818,2875,1247,1281
Yarralumla,7098,7440,4489,4824
