,school,type,district,capacity,capacity_now,capacity_2027,lng,lat,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
0,Ainslie School,primary,North Canberra,533.0,0.707317073,0.848030019,149.1397826,-35.27366131,372.0,390.0,397.0,389.0,370.0,353.0,366.0,355.0,334.0,360.0,357.0,352.0,356.0,377.0,397.0,415.0,423.0,432.0,452.0
1,Alfred Deakin High,high,South Canberra,963.0,0.897196262,0.921079958,149.0946442,-35.32424542,784.0,760.0,740.0,755.0,775.0,783.0,787.0,815.0,887.0,877.0,862.0,877.0,845.0,864.0,867.0,877.0,905.0,884.0,887.0
2,Amaroo School*,primary,Gungahlin,1084.88277,0.852626685,0.751233242,149.1285792,-35.16500612,768.0,760.0,771.0,895.0,941.0,978.0,966.0,934.0,984.0,1106.0,1059.0,1024.0,968.0,925.0,908.0,880.0,844.0,812.0,815.0
3,Amaroo School*,high,Gungahlin,1066.11723,0.852626685,0.745696606,149.1285792,-35.16500612,451.0,470.0,481.0,493.0,535.0,551.0,609.0,630.0,691.0,726.0,800.0,811.0,864.0,909.0,953.0,937.0,896.0,859.0,795.0
4,Aranda Primary,primary,Belconnen,625.0,0.8752,0.8064,149.0803371,-35.25532768,380.0,404.0,416.0,451.0,453.0,463.0,486.0,522.0,555.0,558.0,543.0,567.0,551.0,547.0,535.0,527.0,521.0,518.0,504.0
5,Arawang Primary,primary,Weston Creek,562.0,0.879003559,0.800711744,149.0591816,-35.35471474,370.0,357.0,335.0,298.0,345.0,368.0,393.0,438.0,432.0,453.0,468.0,490.0,487.0,494.0,491.0,484.0,472.0,467.0,450.0
6,Belconnen High,high,Belconnen,600.0,0.976666667,0.983333333,149.0389237,-35.24711455,602.0,528.0,461.0,402.0,384.0,373.0,353.0,382.0,408.0,435.0,462.0,521.0,551.0,586.0,592.0,597.0,592.0,584.0,590.0
7,Bonython Primary,primary,Tuggeranong,514.0,0.725680934,0.76459144,149.0825723,-35.43072602,371.0,371.0,340.0,315.0,289.0,267.0,260.0,275.0,279.0,315.0,349.0,363.0,390.0,373.0,371.0,396.0,389.0,391.0,393.0
8,Calwell High,high,Tuggeranong,674.0,0.618694362,0.630563798,149.1176228,-35.44080813,466.0,478.0,444.0,413.0,397.0,359.0,344.0,323.0,352.0,366.0,387.0,400.0,419.0,417.0,420.0,420.0,423.0,428.0,425.0
9,Calwell Primary,primary,Tuggeranong,525.0,0.512380952,0.51047619,149.1085618,-35.43861009,382.0,329.0,284.0,278.0,256.0,264.0,255.0,237.0,220.0,245.0,250.0,252.0,267.0,269.0,278.0,284.0,279.0,277.0,268.0
10,Campbell High,high,North Canberra,831.0,0.773766546,0.853188929,149.14778,-35.2780636,613.0,646.0,668.0,692.0,718.0,741.0,723.0,721.0,728.0,719.0,743.0,704.0,677.0,643.0,632.0,634.0,672.0,708.0,709.0
11,Campbell Primary,primary,North Canberra,450.0,0.657777778,0.691111111,149.1560035,-35.29010386,269.0,248.0,249.0,268.0,252.0,246.0,272.0,282.0,320.0,335.0,366.0,327.0,325.0,296.0,296.0,290.0,299.0,301.0,311.0
12,Canberra High,high,Belconnen,985.0,0.908629442,0.924873096,149.0744475,-35.25154382,588.0,572.0,574.0,643.0,753.0,780.0,813.0,813.0,837.0,838.0,871.0,869.0,855.0,895.0,901.0,903.0,907.0,909.0,911.0
13,Caroline Chisholm School*,high,Tuggeranong,799.3422619,0.524180967,0.515423767,149.1215543,-35.41779399,428.0,331.0,293.0,283.0,276.0,278.0,318.0,331.0,324.0,348.0,378.0,389.0,396.0,419.0,410.0,419.0,421.0,412.0,412.0
14,Caroline Chisholm School*,primary,Tuggeranong,482.6577381,0.524180967,0.430947198,149.1215543,-35.41779399,210.0,192.0,188.0,193.0,222.0,245.0,256.0,280.0,310.0,315.0,295.0,285.0,269.0,253.0,239.0,228.0,223.0,216.0,208.0
15,Chapman Primary,primary,Weston Creek,633.0,0.879936809,0.846761453,149.0427761,-35.35651602,436.0,462.0,466.0,489.0,501.0,506.0,511.0,547.0,558.0,567.0,560.0,540.0,538.0,557.0,549.0,554.0,550.0,547.0,536.0
16,Charles Conder Primary,primary,Tuggeranong,547.0,0.808043876,0.791590494,149.0983408,-35.46467101,391.0,365.0,308.0,305.0,265.0,247.0,270.0,265.0,286.0,328.0,357.0,412.0,440.0,442.0,448.0,457.0,449.0,449.0,433.0
17,Charles Weston School,primary,Molonglo,800.0,0.635,0.76875,149.0411924,-35.31971486,,,,,,,,110.0,197.0,288.0,394.0,485.0,471.0,508.0,533.0,558.0,580.0,596.0,615.0
18,Charnwood-Dunlop School,primary,Belconnen,496.0,0.796370968,0.77016129,149.0362433,-35.1986762,242.0,246.0,251.0,285.0,314.0,295.0,282.0,246.0,278.0,303.0,318.0,339.0,353.0,395.0,402.0,399.0,394.0,393.0,382.0
